aud,review,date,rate,neg,neu,pos,compound,,,,count,,
starymelody x,A strong but childish hero.,12-Dec-21,3,0.258,0.092,0.65,0.6428,,,,,,
Dark C,"Pretty awesome movie, 4th MCU movie is a banger. 4/5",11-Dec-21,3,0,0.49,0.51,0.8074,,,,,,
Daniel E,"Thor Has Awesome Powers, and Loki is Really Well-Maded Character, This Movie Will Not Be a Bad Movie to Waste Your Time. Even Most of Them is Kinda Like Drama, and Some Romance(Which I Don't Really Like), it Will be a Great Movie to Spend Your Time.",5-Dec-21,3,0.051,0.708,0.241,0.8874,,,,,,
Michael D,"Tempers its scope with humor and drama. It delivers the goods so long as there's action and family conflict playing out in celestial dimensions, but is less thrilling during Thor's banishment to Earth. Chris Hemsworth gives a charming, funny, and winning performance.",1-Dec-21,3,0.058,0.583,0.359,0.9584,,,,,,
Jorge M,"A film with a lot of potential but with a bad vision. All about Asgard was totally wasted, incredibly was more interesting the little town in New Mexico. It has some great shots and others very bad. In general, it's a entertaining film, but I think its wasted all the cast, except for Tom Hiddleston as Loki, who was the only one with a very well development.",16-Nov-21,3,0.21,0.575,0.215,-0.1292,,,,,,
Aidan B,"A boring film with the standard fish-out-of-water humor, ""Thor"" takes the MCU to new lengths and introduces one of the best villains Marvel has put on screen. The romance is done fine enough, though the relationship seems pretty bland. Overall, not a bad Marvel film, just an average one.",15-Nov-21,3,0.106,0.615,0.28,0.8765,,,,,,
Mitch N,The beginning of an action movie (marvel) era,28-Feb-22,5,0,1,0,0,,,,,,
Mitchell W,8/10 defined a generation,19-Mar-22,5,0,1,0,0,,,,,,
Jonathan D,"Going into this movie I had no idea what to expect. Norse mythology wrapped in a superhero movie was something I thought would be awkward to watch play out. However, the Director and its producers managed to pull off solidly entertaining and fun superhero movie. The cast was great, Tom Hiddleston as Loki was perfection. The middle of the movie can drag but, that is easily overcome by the charms of this actors.",7-Nov-21,3.5,0.053,0.732,0.215,0.9231,,,,,,
Aidan I,"Thor is just a mediocre Marvel film. Tom Hiddleston didn't really do it for me in this movie, I'm glad he gets better throughout the movies. It was really well paced and not too many plot holes either. I also really liked the character development we got from Thor in this one. The only main problems I had with this movie was the ending which sucked and the graphics. Good mediocre film, Avengers next!",7-Oct-21,3.5,0.068,0.759,0.173,0.835,,,,,,
Adhyan d,"The movie definitely has some good performances and some good action sequences but it is dull at times, doesn't feel epic and has an uneven tone.",6-Oct-21,3.5,0.113,0.703,0.184,0.0516,,,,,,
Mr. A,I could watch this movie over and over and over. It never gets old.,11-Nov-20,0.5,0,1,0,0,,,,,,
Strummer R,"This movie is good... not as bad as people say it is. Great cast, whether you're talking about (at the time) no-names such as Chris Hemsworth, or Tom Hiddleston, or pulling out the big guns like Anthony Hopkins. Both Asgard and New Mexico are cool little worlds. Not the best MCU movie, but worth the watch. It's good. 7/10",19-Sep-21,3.5,0.032,0.762,0.206,0.8717,,,,,,
Nathan M,didn't get some plot elements but other than that decent movie,26-Apr-22,3.5,0,1,0,0,,,,,,
Sren K,"Thor is good but not great. The filming technic out right frustrating, with the picture for some reason being tilted all the time. It has some good moments, but it is also very slow at times.",14-Sep-21,3.5,0.18,0.694,0.126,-0.5409,,,,,,
Burak Berke S,"Underrated. Well-written origin story with accurate locations and costumes. Thor is on point, and outstanding performance by Hiddleston and Hopkins. Nice soundtrack. However, portrayal of the supportive cast is weak, CGI is not as convincing at times, and the quality of both the choreography and dialogue gets really low for some reason during the final fight.",30-Aug-21,4,0.149,0.719,0.132,-0.039,,,,,,
Joshua C,"I like the character of Thor but this movie wasn't great. Natalie Portman was quite bad, honestly. Her delivery of the ""Oh my god"" line was hilariously bad.",29-Aug-21,4,0.332,0.47,0.198,-0.8403,,,,,,
Dennis F,An endearing Norse Mythology superhero blockbuster that has a lot interesting characters but not a lot of action.,25-Aug-21,4,0,0.765,0.235,0.5106,,,,,,
Max W,#21/25 Best Moment: The town humor,25-Aug-21,4,0,0.388,0.612,0.743,,,,,,
Joshua H,A really fun and enjoyable film with strong performances.,24-Aug-21,4,0,0.332,0.668,0.8766,,,,,,
Liam R,Thor? More like BHOR.,23-Aug-21,4,0,0.518,0.482,0.4201,,,,,,
Jonathan K,"Usually I dislike when a movie is overly straightforward in its design, but Thor actually uses this to its advantage: It tells a worn, timeless story of the strong-but-arrogant hero learning to control his impulses and think about others first. This is bolstered by the fact that it's a well-written and well-acted form of this tale, and takes the shape of a surprisingly engaging Summer Blockbuster. And wow, what a Blockbuster it is! Artistically the movie is not only well done but incredibly unique, and some of the effects within Asgard are especially wonderful to look at, even to this day (ESPECIALLY the glowing bridge that looks like various colors of light blasting through a wall of glass made up of glued-together shards). It also features intense but well-staged Action Sequences, enough twists and turns to the story to keep it moving, and a genuinely entertaining sense of humor during the middle chunk, between the Shakespearian Bravado of the first Act and the Epic Greek Tragedy Final Act, and this really gives the movie a full spectrum of emotions. It's brilliantly Directed by Kenneth Branagh, the single most famous (and effective) Shakespearian Director, and the movie itself, underneath his Direction, has more than enough (but not too-much) going on. If you like deceptively simplistic entertainment that is made well, Thor most certainly has you covered.",22-Aug-21,4,0.056,0.716,0.228,0.9943,,,,,,
Debbie B,"CONTAINS SPOILERS: This film is fun! Thor is not at all my favourite backstory, but this film still could hold my undivided attention at all times. People like Loki so much because he doesn't turn into the ""villain"" until he starts lying to Thor - if you're not a spoiled brat like the god of thunder himself, you know Loki was actually trying to avoid a war up to the middle of the film. He's not entirely bad, and even his worst qualities are very human: the ego, the jealousy. I love when random characters come to Earth and have to learn how to be ""civilised"", like what happens to Thor. Dennings' character is also so likeable, I love the whole science crew. Very good film.",22-Aug-21,4,0.127,0.633,0.24,0.9627,,,,,,
Corey B,The worst Marvel film by far.,15-Aug-21,4,0.451,0.549,0,-0.6249,,,,,,
Sloth 2,Definitely much better than people gave it credit for - an interesting journey that was pretty fun to watch.,10-Aug-21,4,0,0.408,0.592,0.9468,,,,,,
DuZ 2,74/100 not a bad movie,9-Aug-21,4,0,0.513,0.487,0.431,,,,,,
Harry R,A nice film that introduces Thor not in the best way but still introduces him Loki was good as always in the film so it was just a meh film overall,31-Jul-21,4,0.106,0.727,0.167,0.4795,,,,,,
Robert S,The Thor movies are quite boring though.,31-Jul-21,4,0.302,0.698,0,-0.3804,,,,,,
Yuv L,"A great MCU film that sets up Loki in a good way and Chris Hemsworth performance is amazing as thor leaving him as one of the most entertaining and compelling superhero's to watch. The film has a smart plotline and structure with great character connections, humorous moments and the action sequences with their good soundtracks and visual effects will leave you entertained throughout.",26-Jul-21,4,0.015,0.602,0.383,0.9833,,,,,,
Cailan D,"Thor has lots of visual appeal, nice performances from the cast as a whole, and entertaining action sequences which should keep viewers engaged for the full runtime. Tom Hiddleston does a great job with Loki and gives us a convincing villain with a solid emotional backstory, Jeremy Renner's Hawkeye cameo is welcome in the film, and it's both cool and intimidating to hear Anthony Hopkins growl as Odin. The movie takes Thor on a nice character arc which Hemsworth supplements well with his take on the character, and sets Thor up for future installments. However, the fault of this movie for me is the timeline. It takes place over only a few days, and its slightly unbelievable that Thor changes that much during that short span of time. Normally growth and personality changes take months and sometimes even years to occur, and yet Thor is able to that in just a few days. This movie would've felt more realistic if it had a time jump of a few months following Thor's banishment to Earth to truly give the character time to have an arc. With that said, Thor overall is entertaining and engaging and remains a solid enough entry in the franchise.",18-Jul-21,4,0.041,0.769,0.19,0.9805,,,,,,
michael l,"Great fun, you meet Thor, we get to begin to miss Sif, the enemy wasn't incredibly interesting, but considering nobody knew if anyone even wanted a thor movie, it was good.",15-Jul-21,4,0.14,0.634,0.226,0.6443,,,,,,
Nick E,chris hemsworth is literally a juice head who can't act,27-Dec-20,3,0,1,0,0,,,,,,
Haroun B,"Looking back, it's not one of the best Marvel movies, but it's a lot better than people give it credit for. Loki, by far, is the best part of the movie. His storyline is great, and Tom Hiddleston delivers a great performance. Tom Hiddleston and Chris Hemsworth's chemistry is also a great part of the movie. Chris Hemsworth also delivers a great performance and is very fun, even when he plays Thor before his character develoment. The parts on Earth do drag a lot. I'm not a very big fan of either Darcy Lewis or Jane Foster, but they don't ruin the movie too much.",12-Jul-21,4,0.036,0.611,0.353,0.9941,,,,,,
Donny M,"The love story between Thor and Jane absolutely ruined the movie for me. I feel so bad for Natalie Portman because I like her as an actor, but the writing in this movie turns a smart scientist into a googly-eyed love interest who develops a forced fling over the course of maybe a day or two? And the final battle scene felt somewhat convenient and not that believable. Plot twists of Loki were good but his motives slightly hard to follow, maybe I have to rewatch, but not sure I want to.",7-Jul-21,4.5,0.157,0.646,0.196,0.8059,,,,,,
Luis G,"I wish Thor was more of an origin story, because it felt more like a love story that wasn't even strong, and I wish King Laufey was the real main villain than Loki, let alone the setup for the first Avengers film. The visual styles of the movies are really good though.",1-Jul-21,4.5,0.127,0.629,0.243,0.8207,,,,,,
Robbie W,"Decent but not great, but the actors are great and Asgard has a cool sense of grandeur.",27-Jun-21,4.5,0.312,0.422,0.266,-0.3252,,,,,,
Tyler S,"The mix of horrible visual effects, shitty storyline, no big fight scene, okay acting and Chris Hemsworth's horrible hair makes this a shitty movie, even for a super hero movie. I can't be the only one who thought Loki's intentions didn't seem that bad at the beginning, which is not what you want to get at when you try to make him the villain. This is the second worst Marvel movie, barely ahead of The Incredible Hulk.",22-Jun-21,4.5,0.276,0.603,0.121,-0.94,,,,,,
Clyde F,It is not very good- except for the performances.,17-Jun-21,4.5,0.247,0.753,0,-0.3865,,,,,,
Kyle P,"""Thor"" was just an okay movie, especially when the title character loses his powers for a majority of the film and the romance between Thor (Chris Hemsworth) and Jane (Natalie Portman) a little forced.",14-Jun-21,4.5,0.13,0.727,0.143,0.1263,,,,,,
Puroo R,"I had been bingewatching all the MCU movies after the release of Infinity War, so that I could catch up before Endgame. This is the reason why I have a good hunch of which movies were very memorable and which ones were easily forgettable. This one here, however, comes under the same category as I'd put Guardians of the Galaxy under: It's memorable and forgettable at the same time. The only thing I remember from this movie is how awesome Loki was and Stan Lee's cameo appearance, but other than that, well, let's just say it all jumped over my head. It's quite surprising to see how Thor has changed so much since the time we first saw him. Since I am writing this review 4 years after Thor: Ragnarok, I think my idea of Thor has changed a lot by now. Earlier I used to think Thor can never be an interesting character, thanks to this movie. But after seeing what Ragnarok, Infinity War and Endgame did to him, it seems the entire fault was of this movie's director. He made Thor a weird looking guy. Although there's no doubt everyone looks straightup ugly in this movie, the CGI is actually pretty good. The story is pretty much straightforward: Thor has done a battle which he ruined because of his pompousness and so he has been banished on earth. His hammer has been put at some construction yard or something, and he's no longer worthy enough to lift it. It seems a lot like a copy of the first Assassin's Creed game, since there also Altaïr was the one whose post was stripped and he was sent back to the beginner's ranks. Meanwhile Loki found out he belonged to the enemy demon race and Odin had adopted him after killing his father. Loki teams up with those demons to attack Asgard. The CGI, I'd admit, is pretty good. Every time I see the Asgard road I always feel like driving a sports car on it. Humans were really boring. All they did was talking, talking and more talking. This isn't something that one'd expect from MCU, and that's pretty obvious since MCU wasn't even decided until this point. But still there should have been a good tone. The twist in the end where Loki decided to save Odin and kill the monster after the monster mentioned Loki helped him was pretty good. I had always wanted a villain to do this: Don't leave yourself vulnerable after being exposed; try to defend yourself and show that the person is lying. And after Loki lost the battle, he pretended to commit suicide in order to show that he only wanted what he believed was justice. Thor may have been a very forgettable movie, but I do remember it wasn't worth watching the second time. This movie made me fear that MCU could be boring in the future. It also ruined Thor's entire expectations for me. Throughout the movie I was only hoping it would end. The only reason I've given it a good rating is because of Loki, the CGI, and the way they were able to show Asgard's culture. Good movie, but a one time watch.",9-Jun-21,4.5,0.153,0.706,0.141,-0.917,,,,,,
Cody M,"A cosmically super-powered MCU visual spectacle, combined with Branagh's direction, the script by Miller, Stentz , Payne Straczynski and Protosevich, the performances of the cast, Doyle's score, Zambarloukos's cinematography, Rubell's editing, Welch's production design, Gaffin and Hickerson's set decoration, Byrne's costume design, action sequences, sound design and visual effects, Thor adds another adventurous element to the MCU!!!",4-Jun-21,4.5,0,0.943,0.057,0.5067,,,,,,
Cheryl R,"Yes, it uses dutch angles way too often. Yes, it has also some of the most EPIC sequences in the MCU",4-Jun-21,4.5,0,0.779,0.221,0.6597,,,,,,
Andrew B,"I really like this movie. It is a very different movie. Anthony Hopkins gives a great performance as Odin, along with Chris Hemsworth as Thor and Tom Hiddleston as Loki. Very average movie, but a great watch.",26-May-21,4.5,0,0.748,0.252,0.8778,,,,,,
Andy S,"Thor was kinda boring. This movie has a good start, but falls off very quickly, when Thor gets to earth. I didn't like the romance between Thor and Jane, I thought it was pretty lame. What I like about this movie thought is Loki. Till this point in the MCU the best villain so far. Thor's character ark was also pretty solid, and I liked the conflict with him and Loki. All in all i give this movie a 2,5/5 stars.",26-May-21,4.5,0.212,0.58,0.209,0.1731,,,,,,
Xiebe S,"I've grown more towards it over the years, but it's still one of the weaker mcu movies.",22-May-21,4.5,0.194,0.806,0,-0.5927,,,,,,
Brian H,A very good introduction to this character,14-May-21,4.5,0,0.61,0.39,0.4927,,,,,,
Matt R,"It was a good introduction to the character, but easily the weakest of the first few MCU films. I didn't love the first Captain America all the way through, but I prefer it over this. It has quite a few dull stretches and unnecessary scenes, but it has interesting mythology that it delves into and great performances from all lead and supporting cast members. All-around, it's a decent comic book film.",13-May-21,4.5,0.146,0.651,0.203,0.6286,,,,,,
Jerry S,Thor was not a great film. I didn’t enjoy it and the story was so confusing and dumb. Instead of talking about Thor and visiting other planets or even other universes. No..instead it is about him loving a girl and staying on earth... what waste.. did not enjoy it.... I am going to give Thor: A D+,7-May-21,4.5,0.142,0.701,0.157,0.2385,,,,,,
Vitchapon W,Werid camera angles but it doesn’t make this bad tho 8-10,5-May-21,4.5,0.363,0.637,0,-0.7709,,,,,,
Marvin M,Thor was an interesting film for me. I really liked the storyline it was going. Also I really liked how it sets up his journey in the MCU. However the only problem that I have with this movie is the camera work. The tilt camera does not work for me. I get were they we're trying to do but it just felt like the camera was broken in some areas and they didn't bother to fix it. This style doesn't take me out of the movie entirely. Cause I really like this film but that tilt camera just doesn't work for me. All in all still a good film just not the best camera work but still good. 7.9/10,5-May-21,4.5,0.078,0.754,0.168,0.8791,,,,,,
Aaron D,The movie plays well and is fun with the development and decision making of characters like Thor.,3-May-21,4.5,0,0.568,0.432,0.836,,,,,,
Sean D,The first two thor's are just kind of meh. I mean not bad but compared to the first movies of the iron man and captain america trilogy's this sucks.,11-Apr-21,1.5,0.159,0.78,0.06,-0.4912,,,,,,
Harry E,"After the last 2 Marvel Movies not being the greatest success, there was a lot riding on Thor and it Didn't really fulfill it. Thor and Loki both feel like whiny children and if that on purpose that's even worse. Anthony Hopkins delivers well as Odin and the Warriors 3 and Sif don't feel like unnecessary side characters. A lot of the scenes on earth are amusing and Clark Gregg as Phil Coulson added one of the first senses of interconnectivity in the saga. Natalie Portman wasn't the greatest and the relationship between her character and Thor felt weird. I like both Kat Dennings and Stellan Skarsgard but yet again the final fight scene was underwhelming. I didn't feel any sadness when Loki died, when Thor nearly died or when Thor was cast out nearly chuckling at some points. Overall an average movie that pointed the saga in a good direction.",10-Apr-21,1.5,0.133,0.744,0.123,-0.5818,,,,,,
Drew G,"THOR is one of the better films of the MCU Phase One, but that's not saying much.",8-Apr-21,1.5,0,0.891,0.109,0.2382,,,,,,
Danny M,crap crap crap did I say crap wasn't even a good comic lets make 50 films about it,8-Apr-21,1.5,0.538,0.462,0,-0.8958,,,,,,
Lasse L,The first of the fantastic MCU films and it mostly holds up in terms of CGI. The plot is fine but largely uninteresting which isn't helped by the fact that the characters in general aren't very memorable. The biggest exception to this is Tom Hiddleston's Loki but even that character hasn't reached his peak yet. The film is also poorly lit in quite a few scenes which is annoying.,5-Apr-21,1.5,0.069,0.88,0.051,-0.3169,,,,,,
Christopher M,Chris Hemsworth's performance in this movie is absolutely brilliant. The way Odin punishes his son speaks volumes. He clearly sees his son isn't fit to be King & punishes him. Thor finally finds himself & learns a thing or two about Earth.,1-Apr-21,1.5,0.169,0.692,0.138,-0.1323,,,,,,
Lucas F,One of the most underrated MCU movies. It's fun and exciting if you can get through the first thirty minutes. Which is easier said than done. But this movie still has that MCU charm we've all grown to love.,31-Mar-21,1.5,0,0.687,0.313,0.9382,,,,,,
Charlie A,"I mean I love the cinematography, the fish out of water element, and a lot of other qualities about this film - but it's overall kinda boring tbh",28-Mar-21,1.5,0.093,0.811,0.096,0.0231,,,,,,
Evan G,"Thor is an underrated film. People right it off as if it's not good but it is, I especially like how the film tackles family dynamics. It's not great but it is good.",26-Mar-21,1.5,0.217,0.634,0.149,-0.443,,,,,,
Joe M,so boring. Loki's a hotty so i'm giving these 1.5 stars for him. Other than that what the heck was marvel thinking.,23-Mar-21,1.5,0.107,0.783,0.11,0.022,,,,,,
Owen F,"I like this movie, only like, I don't like the eyebrows",19-Mar-21,4,0,0.444,0.556,0.7579,,,,,,
Sai S,"Thor (2011) is a good and dazzling origin story for the God of Thunder with great performances from Chris Hemsworth, Tom Hiddleston, and Sir Anthony Hopkins.",16-Mar-21,4,0,0.707,0.293,0.8442,,,,,,
Hunter B,"This film is a solid introduction to the god of thunder. However, the lot is not as interesting as other MCU films, leaving this one of the weaker ones. It still has some amazing action scenes and introduces us to some more familiar faces to the MCU.",13-Mar-21,4,0.096,0.764,0.14,0.3274,,,,,,
Chaine A,Not the strongest in the MCU but Loki kept me interested.,11-Mar-21,4,0.119,0.631,0.249,0.4305,,,,,,
James D,Thor doesn't get an incredible film until the end of his trilogy but this is a solid start.,8-Mar-21,4,0,0.894,0.106,0.2263,,,,,,
Jessica E,Chris is the perfect Thor! I really enjoyed this movie. Don't care what anyone else says!,8-Mar-21,4,0.117,0.533,0.35,0.7391,,,,,,
Jackson H,I loved the Thor movies and especially this one. It has great characters and a SUPER AMAZING premise of the movie. I love this movie so much.,26-Feb-21,4,0,0.471,0.529,0.9731,,,,,,
Nico H,One of my favourite marvel movies!,28-Jul-21,4.5,0,1,0,0,,,,,,
PinkSlothPuppy C,"Thor is a fun, enjoyable movie. It has plenty of funny moments, some dramatic moments, the first memorable marvel villain so far, and a memorable, likable protagonist. Thor himself I'm very impressed by, his egotistical nature is not annoying, surprisingly. Thor is not an amazing, jaw doping experience like what will come after it, but I'd still recommend it.",21-Feb-21,4,0.106,0.675,0.218,0.7681,,,,,,
FRANCO R,"Good glimpse at Thor's World, should have done more with this angle.",19-Feb-21,4,0,0.791,0.209,0.4404,,,,,,
Aaron A,"Aburrida, sin embargo nos presenta al personaje de Thor y lo hace de buena manera, Tom Hiddleston se roba el show, su actuación como Loki es lo mejor de la película",14-Feb-21,3.5,0.11,0.89,0,-0.5574,,,,,,
Ben N,"Thor has failed at being a Superhero movie. The level set by Iron man and Dark Knight is high, but not even as high as a 'normal' drama or adventure movie. You don't have to adhere to realism in a Superhero movie, but you do need (like and Sci-fi) to set limits and respect them. You also need a real plot with characters that you care about. The characters in Thor, good guys and bad guys alike, are so thin and bland that there is no reason to become compelled by the weak plot. The fish out of water angle is not effective, the Frost Giants and Loki both have no plan, and in the end, who cares that a metal giant is blowing up gas stations in a remote New Mexico village - but apparently never hurting this God/Superhero/whatever he is or his friends. The movie never explains Asgard or Thor, where they fit into... anything and how that relates to Earth. I want more from my MCU movies, and this one was very weak.",9-Feb-21,3.5,0.114,0.73,0.156,0.8297,,,,,,
SAHIL S,Great film really good must watch it as a marvel film,6-Feb-21,3.5,0,0.523,0.477,0.807,,,,,,
Robbie M,"Chris Hemsworth's performance as Thor may be enough to sell a fan, but boring human characters and an overly comedic tone makes this one of Marvel's lesser features.",3-Feb-21,3.5,0.092,0.747,0.162,0.3071,,,,,,
Tudor P,"This is a good origin story for Thor. The special and visual effects look very good for a 2011 movie. There's never a dull moment, something is always happening, I was never bored while watching it. The action scenes were great. For some reason, there are also a LOT of Dutch angles. I don't mind them, I just think it's interesting. Thor has a character arc that is executed well. At first he's arrogant and a hot-head, but after spending time with humans on Earth, he is humanized and becomes less selfish and willing to sacrifice for others. We also briefly see Hawkeye for the first time in the MCU.",29-Jan-21,3.5,0.052,0.816,0.132,0.6027,,,,,,
Max G,A great movie to introduce one of the most powerful and popular Marvel characters! For sure a real blast of lightning-filled fun! Not to mention the fantastic acting (especially from Tom Hiddleston)!,29-Jan-21,3.5,0,0.541,0.459,0.9654,,,,,,
Mac Reynald S,The graphic was awesome but I felt the movie was a bit rushed and incomplete left me wanting more.,23-Jan-21,3.5,0,0.863,0.137,0.3716,,,,,,
Jeffrey D,I think it's good. I like the story and how emotional and dramatic it is. The visuals are great. Asgard looks beautiful. I love the chemistry between Thor and Jane.,22-Jan-21,3.5,0,0.522,0.478,0.9595,,,,,,
Diego O,Is this a superhero movie or a bad comedy?,8-Jan-21,0.5,0.318,0.455,0.227,-0.25,,,,,,
Samuel B,Not the best way to start a movie saga.,4-Jan-21,0.5,0.325,0.675,0,-0.5216,,,,,,
Alexi L,Hiddleston is great in this movie but at this point I definitely believed Hemsworth still struggled a bit to be Thor but still played the role solid. The pacing is a bit off but it has many interesting scenes. At the end of the day not bad of movie; maybe just a little forced for he upcoming avengers movie.,3-Jan-21,0.5,0.092,0.652,0.256,0.8949,,,,,,
Kacsa M,"Allthough at the start I was confused, this movie turned into something awesome, that I really enjoyed watching and recommend everyone to do so too! Such an amazing movie 8/10 would recommend",1-Jan-21,0.5,0.053,0.557,0.39,0.938,,,,,,
Kian M,The problem with this movie is that they rush this film to set up the avengers,31-Dec-20,0.5,0.153,0.847,0,-0.4019,,,,,,
Olav O,Black Heimdall? This like putting a whiteman in Black Panter!,30-Dec-20,0.5,0,0.741,0.259,0.4199,,,,,,
George M,"4.5 bags, not as good as when it came out. Seems dated almost 10 years later but this was also the 1st Marvel movie that took us beyond Earth and started to build the MCU, so let's forget that Kenneth Branagh coulda made a better movie. I'm gonna forget KB's performance in ""Tenet"" as well so I can intentionally re-watch the movie.",29-Dec-20,0.5,0.105,0.8,0.095,0.0675,,,,,,
miranda g,"I liked this movie but I'm not gonna lie, it was kinda boring. Thor is an awesome character but this movie just seemed to drag on for no reason. By far not my favourite of the MCU movies.",29-Dec-20,0.5,0.162,0.678,0.16,0.2238,,,,,,
Bernardo D,"An alien lost in a quiet southern city in the United States meets with a group of scientists and needs to find a way to return home. It looks like a Spielberg movie, but it's just Thor, who has his moments of action and laughter, but most of the time it's a boring movie that needs to support itself with the primitive man that Thor is and put him shirtless for good. in a while.",29-Dec-20,0.5,0.056,0.757,0.187,0.8945,,,,,,
William F,God what a awful movie. Strike it down with thunder,28-Dec-20,0.5,0.357,0.476,0.167,-0.34,,,,,,
Lucastrindadedefaria C,legal bom maneiro muito,23-Dec-20,3,0,0.667,0.333,0.128,,,,,,
Aaron L,"Interesting Story and Characters help this film stay enjoyable throughout, with the compelling performances from both Hemsworth and Hiddleston, while having great chemistry. Although feels weak in the world building and stupid at times, as well the pacing feels off and distracting at times.",22-Dec-20,3,0.142,0.584,0.274,0.7845,,,,,,
Leandro S,"a very weak film, nothing in this draws my attention apart from a few performances.",14-Dec-20,3,0.21,0.79,0,-0.4927,,,,,,
Logan C,Marvel Comics at it's best. Thor looses his power and is sent down to Earth.,27-Nov-20,3,0.085,0.691,0.223,0.5574,,,,,,
Thomas T,"Thor is still a ""kind of fun"" character in this one. Chris Hemsworth plays a more serious Thor than the beloved Ragnorok. The first act in this movie is solid, with fighting the frost giants, the backstory of taking the throne from Odin when either Thor or Loki is ready. It's when Thor goes to Earth is when the movie suffers. The human characters like Natalie Portman are not engaging. They are more annoying than anything. Some funny scenes with Thor acting crazy by Earth's standards like the hospital scene. Another weak point is the dialogue. Pretty generic especially with the characters on Earth. It upsets me that Natalie Portman is Thor's love interest. However, this movie has one of the best villains in Marvel to this day being Loki. Extremely believable character and his motive makes sense, on top of Tom Hiddleston being phenomenal. It's a fun enough movie for a watch. Don't expect to be blown away. Grade: 74% (C)",19-Nov-20,3,0.123,0.678,0.199,0.9359,,,,,,
nightwing b,A wonder way to continue the Spider-Man movies or wrap them up depending on how it goes,21-Apr-22,5,0,1,0,0,,,,,,
Brayden G,"The earth moments were solid. Asgard moments were too cartoonish. Plus, why was the Destroyer blowing up things near people but not actually killing any of its foes directly? Made no sense...",18-Nov-20,3,0.21,0.645,0.145,-0.4071,,,,,,
Charlie A,I thought Chris Hemsworth did really good playing Thor really good movie and actors.,17-Nov-20,3,0,0.542,0.458,0.8159,,,,,,
Iker S,"Tempering its sweeping scope with wit, humor, and just a little dose of dramatics, Thor is a super-charged fantasy epic that can stand alone in the Marvel Cinematic Universe. Chris Hemsworths performance is captivating and dumbly relatable even for a Greek god. The set pieces have beautiful space imagery and the score is booming. Sadly, there isn’t much more to add to this first entry in this franchise. It’s entertaining but lacks any form of consistency.",12-Nov-20,5,0.064,0.84,0.095,0.3506,,,,,,
France Carl C,"Thor has a kind-of boring plot. It is interesting that you watch Thor lose his might because of his actions, and then watch how did he handle the situation. However, nobody wants to see the boring characters, and this movie is just about them. Doesn't make sense. Thor is a great character, but this movie wouldn't be able to lift Mjolnir.",5-Nov-20,5,0.077,0.854,0.07,0.1388,,,,,,
Daniel F,I love the romance but just too sad,3-Nov-20,5,0.318,0.307,0.375,-0.0644,,,,,,
IDoMovieReviews -,"7.5/10. This film shows how much Thor has changed throughout the MCU. it contains some exciting action and a phenomenal cast but the problem is for the first cosmic movie inside the MCU, most of it takes place on Earth.",31-Oct-20,5,0.083,0.868,0.049,-0.3506,,,,,,
Nicholas J,"Thor, is an okay movie that over stays its welcome. It feels like the movie is dragging on at some points, and I hate that. The pacing in this movie is terrible, the whole movie feels long and disjointed just because of the bad pacing. Now I do like a decent part of the acting, and Loki is really the whole reason why this movie is a little more than just okay. I love most of his chemistry with Thor, and I love the nature Tom adds to his lines. It almost does feel like he is Loki, and I really do like some of the action scenes. Only if this movie was better paced. So 6/10, this movie feels really long.",31-Oct-20,5,0.089,0.713,0.198,0.926,,,,,,
Michael K,Chris Hemsworth pulls off thor making him likeable and shows his worthiness.,28-Oct-20,5,0,0.786,0.214,0.4588,,,,,,
Bobby D,A good start to the Thor franchise,25-Oct-20,5,0,0.633,0.367,0.4404,,,,,,
Milad T,This marvel film is so underrated and a decent start to the Thor franchise. I don't know why people don't really like this film and the reviews saying that Thor Dark World is better there is no way Thor for me was good.,15-Oct-20,5,0.096,0.782,0.123,0.3123,,,,,,
Nikolas P,"A not so interesting plot and forgettable characters along with mediocre directing, Marvel continues to have a rough start with their cinematic universe. However, the charming performances of Chris Hemsworth and Tom Hiddleston make this viewing much easier.",8-Oct-20,5,0.059,0.784,0.157,0.628,,,,,,
James H,"Out of all of the Marvel franchises, I felt like Thor had the most potential due to its imaginative environments, characters, and conflicts. While the movie does tackle some of those, it's not anywhere near as unique as say Iron Man or even its later third entry Thor: Ragnarok.",3-Oct-20,1.5,0.051,0.9,0.049,-0.0258,,,,,,
Veloci R,"A middling MCU outing. Worth watching once for the full Marvel experience, but that's about it.",28-Sep-20,1.5,0,0.906,0.094,0.1154,,,,,,
Jace B,"Branagh is all over this film. While it sets up a great story, however, and can get a bit long and unnecessary.",3-Sep-20,1.5,0,0.823,0.177,0.6249,,,,,,
Kh T,Good characters but the story was really plain.,3-Sep-20,1.5,0,0.782,0.218,0.2382,,,,,,
Alex G,"Pretty darn good movie. Some incredible moments, with great fight scenes, characters, acting and plot, this makes a great enjoyable movie, with the biggest downside being sidelining a few characters and the Shakespearean dialogue. This move, I like it. Another!",2-Sep-20,1.5,0.086,0.541,0.373,0.9468,,,,,,
E C,"I thought this film was good, but it could have been better in my opinion.",29-Aug-20,1.5,0,0.674,0.326,0.7003,,,,,,
Ruben R,Most underrated of all Marvel movies. You think Loki is great in the Avengers? Ha. He's way better in this movie. Honestly it's a perfect film. eat it haters.,25-Aug-20,1.5,0.077,0.533,0.39,0.9169,,,,,,
